customer_id,age,gender,income_bucket,orders_last_12m,recency_days,avg_order_value,website_visits_30d,email_opens_90d,top_category,cat_share_electronics,cat_share_apparel,cat_share_home,cat_share_beauty,cat_share_groceries,cat_share_sports,discount_exposed_30d,feedback_text,purchase_next_30d
12,27,M,Low,2,15,142.1,9,1,Apparel,0.053,0.442,0.388,0.012,0.035,0.069,0,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
13,39,M,Low,1,710,31.47,0,6,Groceries,0.223,0.02,0.166,0.112,0.479,0.001,0,"For the price, I think this product provides great value and I would happily recommend it to others.",0
14,37,F,High,8,28,40.39,11,4,Sports,0.128,0.036,0.138,0.311,0.073,0.313,0,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,0
15,53,F,Low,4,152,53.8,8,5,Sports,0.018,0.025,0.168,0.313,0.1,0.376,1,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,0
16,18,M,Mid,12,134,109.03,7,9,Sports,0.047,0.054,0.316,0.096,0.071,0.417,0,"For the price, I think this product provides great value and I would happily recommend it to others.",1
17,44,M,Mid,5,97,193.63,1,9,Apparel,0.036,0.407,0.037,0.101,0.386,0.033,0,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",0
18,34,M,High,0,410,21.38,0,6,Apparel,0.028,0.355,0.142,0.29,0.118,0.067,1,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
19,25,F,Mid,8,170,87.08,9,4,Sports,0.048,0.111,0.108,0.151,0.247,0.335,1,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
20,41,F,High,1,477,37.6,1,9,Home,0.184,0.28,0.345,0.014,0.032,0.146,0,"For the price, I think this product provides great value and I would happily recommend it to others.",0
21,37,F,Low,11,61,40.76,8,5,Sports,0.018,0.077,0.021,0.019,0.392,0.473,1,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
22,45,M,Mid,11,91,39.03,12,5,Groceries,0.026,0.224,0.131,0.165,0.234,0.219,1,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",1
23,46,F,Mid,14,46,46.75,11,7,Sports,0.305,0.093,0.021,0.109,0.095,0.377,1,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,1
24,25,M,Low,3,452,37.56,1,6,Home,0.047,0.083,0.411,0.121,0.029,0.308,0,I plan to keep the subscription because it offers consistent benefits that I find very useful.,0
25,41,F,Mid,0,554,29.98,0,8,Beauty,0.148,0.093,0.313,0.323,0.011,0.112,0,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
26,28,M,Mid,4,157,48.81,8,3,Electronics,0.245,0.17,0.141,0.039,0.24,0.165,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
27,31,F,High,1,702,25.67,0,8,Groceries,0.194,0.026,0.115,0.264,0.35,0.05,0,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",0
28,23,M,High,13,32,35.59,12,3,Apparel,0.012,0.423,0.019,0.305,0.021,0.22,0,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,0
29,27,F,Low,1,515,28.18,3,9,Sports,0.03,0.101,0.249,0.1,0.239,0.281,1,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",0
30,31,M,Low,8,37,31.39,18,4,Beauty,0.13,0.138,0.107,0.323,0.026,0.275,1,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",1
31,35,F,Low,0,508,29.37,0,8,Sports,0.14,0.173,0.191,0.021,0.155,0.321,0,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
32,41,F,Low,0,614,30.92,0,6,Beauty,0.087,0.012,0.282,0.341,0.092,0.187,1,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
33,21,F,Mid,1,39,99.8,6,8,Electronics,0.514,0.142,0.063,0.011,0.214,0.056,1,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",1
34,24,M,High,1,404,26.86,0,4,Beauty,0.145,0.09,0.193,0.368,0.182,0.022,1,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
35,41,M,High,4,93,80.7,8,4,Electronics,0.369,0.067,0.094,0.187,0.193,0.089,1,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
36,26,M,Mid,12,31,37.28,15,1,Sports,0.036,0.023,0.097,0.318,0.206,0.32,0,I plan to keep the subscription because it offers consistent benefits that I find very useful.,0
37,44,F,Low,11,34,92.44,12,1,Sports,0.164,0.082,0.076,0.142,0.161,0.376,0,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",1
38,32,M,Low,10,74,36.41,9,10,Sports,0.033,0.112,0.193,0.052,0.116,0.494,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
39,50,M,Mid,3,98,224.65,7,4,Electronics,0.376,0.032,0.13,0.261,0.197,0.003,0,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
40,46,M,Mid,5,39,79.61,11,4,Electronics,0.358,0.101,0.02,0.197,0.04,0.283,1,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,0
41,22,M,High,0,485,31.27,3,2,Apparel,0.23,0.332,0.106,0.083,0.014,0.235,0,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,0
42,42,F,Low,3,27,159.13,7,7,Beauty,0.016,0.004,0.182,0.581,0.198,0.02,0,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",1
43,34,F,Low,0,489,22.77,1,4,Beauty,0.112,0.041,0.098,0.382,0.143,0.224,0,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,0
44,38,M,Mid,9,14,51.1,14,3,Home,0.254,0.025,0.534,0.134,0.033,0.021,0,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
45,26,F,Mid,2,518,33.71,1,4,Apparel,0.025,0.437,0.227,0.057,0.247,0.006,1,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
46,52,F,Mid,5,98,64.95,7,4,Sports,0.27,0.18,0.142,0.017,0.006,0.384,1,"For the money I paid, this product was not worth it and I felt disappointed.",1
47,36,M,High,2,446,35.41,0,4,Home,0.002,0.025,0.623,0.197,0.147,0.007,0,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
48,18,M,Low,9,55,34.16,12,4,Beauty,0.076,0.324,0.004,0.343,0.145,0.108,1,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",1
49,36,F,Mid,2,751,26.68,1,3,Sports,0.268,0.096,0.123,0.064,0.09,0.359,0,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
50,32,M,Mid,12,65,37.86,11,3,Beauty,0.269,0.002,0.013,0.439,0.13,0.146,0,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
51,24,M,Mid,4,94,86.78,12,5,Home,0.237,0.097,0.324,0.173,0.163,0.006,0,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
52,18,F,Mid,7,59,100.28,4,5,Groceries,0.001,0.002,0.152,0.074,0.514,0.257,0,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,0
53,22,M,High,6,50,46.52,17,5,Home,0.069,0.217,0.449,0.173,0.007,0.085,1,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
54,26,M,High,3,171,74.75,7,7,Electronics,0.337,0.227,0.213,0.115,0.079,0.029,0,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
55,36,M,Mid,9,27,39.79,13,5,Electronics,0.399,0.135,0.031,0.154,0.036,0.246,0,"For the money I paid, this product was not worth it and I felt disappointed.",1
56,41,M,Low,15,46,43.11,9,8,Beauty,0.118,0.26,0.117,0.325,0.045,0.136,1,I plan to keep the subscription because it offers consistent benefits that I find very useful.,1
57,27,F,Mid,1,611,33.64,0,3,Sports,0.011,0.077,0.128,0.282,0.158,0.344,0,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
58,39,F,Mid,8,43,85.34,10,5,Groceries,0.396,0.064,0.013,0.125,0.399,0.004,1,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",1
59,28,M,High,0,494,30.44,2,4,Electronics,0.455,0.186,0.049,0.036,0.147,0.128,1,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,0
60,21,M,Mid,6,84,211.8,6,7,Beauty,0.25,0.055,0.237,0.309,0.032,0.116,0,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",1
61,28,M,Mid,3,131,89.7,5,2,Beauty,0.112,0.152,0.149,0.356,0.038,0.193,1,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
62,39,M,Mid,11,40,50.08,10,9,Groceries,0.149,0.055,0.041,0.235,0.42,0.1,0,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
63,24,M,Mid,8,23,42.04,6,12,Electronics,0.374,0.151,0.047,0.18,0.003,0.245,0,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",0
64,23,M,High,1,796,40.61,0,4,Sports,0.075,0.184,0.077,0.23,0.113,0.321,1,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
65,29,M,Low,1,680,31.03,1,5,Home,0.08,0.081,0.257,0.221,0.126,0.235,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
66,38,M,Low,1,15,181.26,1,7,Apparel,0.316,0.371,0.067,0.136,0.04,0.07,1,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",0
67,37,F,Mid,8,39,34.7,10,5,Sports,0.15,0.025,0.014,0.208,0.257,0.346,0,"For the money I paid, this product was not worth it and I felt disappointed.",0
68,34,F,High,5,55,89.43,11,3,Groceries,0.12,0.025,0.213,0.131,0.386,0.125,1,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
69,41,F,Mid,4,48,73.8,4,5,Groceries,0.146,0.006,0.092,0.01,0.523,0.224,0,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
70,38,M,High,7,116,81.69,3,4,Groceries,0.07,0.074,0.009,0.046,0.439,0.362,1,I plan to keep the subscription because it offers consistent benefits that I find very useful.,0
71,27,M,High,8,72,79.4,11,6,Apparel,0.067,0.504,0.287,0.055,0.029,0.059,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",1
72,45,M,Mid,6,14,238.34,4,6,Beauty,0.134,0.168,0.051,0.395,0.137,0.115,0,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,1
73,42,M,Low,5,33,109.62,10,5,Groceries,0.151,0.071,0.014,0.194,0.298,0.272,1,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,1
74,32,M,Mid,9,77,38.18,7,7,Beauty,0.113,0.053,0.108,0.459,0.049,0.218,1,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
75,30,M,Low,5,197,107.6,10,3,Sports,0.142,0.133,0.17,0.023,0.045,0.486,1,I plan to keep the subscription because it offers consistent benefits that I find very useful.,0
76,36,M,Mid,4,60,105.41,14,6,Apparel,0.036,0.407,0.136,0.004,0.136,0.281,1,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",1
77,27,M,High,4,97,81.52,12,8,Apparel,0.25,0.276,0.124,0.163,0.084,0.102,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
78,38,M,Low,1,550,20.99,1,6,Groceries,0.198,0.117,0.061,0.148,0.357,0.119,1,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
79,38,F,Mid,0,670,25.54,0,6,Groceries,0.116,0.2,0.058,0.12,0.262,0.244,0,I plan to keep the subscription because it offers consistent benefits that I find very useful.,0
80,23,M,Mid,13,26,28.81,9,7,Home,0.068,0.078,0.415,0.004,0.358,0.076,1,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,0
81,28,M,Mid,3,129,64.13,10,4,Home,0.293,0.056,0.331,0.048,0.003,0.269,1,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,0
82,39,M,Low,2,17,162.13,10,6,Beauty,0.089,0.177,0.169,0.332,0.113,0.119,1,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
83,22,F,Low,2,12,238.14,11,6,Electronics,0.419,0.066,0.042,0.36,0.032,0.081,0,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,0
84,38,M,Mid,2,12,257.28,5,6,Groceries,0.286,0.135,0.156,0.029,0.313,0.081,0,I plan to keep the subscription because it offers consistent benefits that I find very useful.,1
85,36,F,High,8,26,44.23,10,9,Beauty,0.133,0.243,0.108,0.341,0.151,0.024,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
86,50,M,Mid,10,30,38,6,3,Sports,0.074,0.023,0.321,0.056,0.182,0.344,0,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
87,33,M,Mid,5,13,202.26,6,4,Electronics,0.452,0.099,0.178,0.083,0.037,0.151,0,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",0
88,26,F,High,8,158,91.65,9,5,Beauty,0.011,0.049,0.02,0.566,0.054,0.301,1,"For the money I paid, this product was not worth it and I felt disappointed.",0
89,28,M,Mid,5,31,76.98,4,8,Apparel,0.158,0.532,0.014,0.036,0.24,0.019,1,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,0
90,47,F,High,2,112,63.88,9,4,Apparel,0.116,0.326,0.23,0.02,0.077,0.231,1,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
91,20,F,High,6,81,88.29,9,5,Sports,0.183,0.153,0.061,0.152,0.099,0.352,0,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,0
92,32,M,Mid,2,704,23.24,2,6,Apparel,0.031,0.322,0.127,0.066,0.245,0.209,0,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
93,31,F,High,12,81,40.17,14,5,Beauty,0.162,0.262,0.018,0.372,0.066,0.12,0,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
94,30,F,Low,13,88,34.36,18,10,Groceries,0.215,0.11,0.083,0.187,0.321,0.084,1,I plan to keep the subscription because it offers consistent benefits that I find very useful.,1
95,23,F,High,0,781,27.68,0,4,Beauty,0.161,0.088,0.089,0.348,0.103,0.211,1,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,0
96,45,M,Mid,7,63,59.64,4,4,Home,0.132,0.031,0.413,0.051,0.228,0.145,0,"For the money I paid, this product was not worth it and I felt disappointed.",0
97,31,M,Low,5,41,66.36,6,6,Sports,0.323,0,0.266,0.016,0.029,0.365,0,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
98,22,M,High,12,63,23.93,12,2,Apparel,0.163,0.415,0.118,0.188,0.105,0.011,0,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",1
99,35,M,Mid,1,785,27.11,1,5,Beauty,0.045,0.042,0.057,0.429,0.232,0.196,1,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,0
100,21,F,Low,14,98,46.62,17,4,Electronics,0.451,0.032,0.221,0.222,0.031,0.043,0,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",0
101,50,F,Mid,1,655,35.03,0,3,Groceries,0.019,0.296,0.012,0.142,0.498,0.032,0,I plan to keep the subscription because it offers consistent benefits that I find very useful.,0
102,30,F,High,13,42,43.25,22,3,Groceries,0.021,0.128,0.078,0.004,0.734,0.034,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",1
103,42,M,Low,7,7,46.36,13,10,Electronics,0.414,0.118,0.081,0.171,0.031,0.185,0,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
104,35,F,Low,4,187,94.34,12,4,Electronics,0.345,0.187,0.064,0.274,0.044,0.086,0,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,0
105,37,M,Mid,12,51,53.67,15,5,Apparel,0.026,0.413,0.329,0.103,0.102,0.028,1,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
106,45,F,Mid,0,408,34.48,0,6,Beauty,0.129,0.101,0.193,0.385,0.006,0.186,0,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
107,30,M,Low,15,79,38.72,15,2,Home,0.191,0.167,0.274,0.087,0.064,0.218,0,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
108,20,M,High,9,58,35.02,9,6,Electronics,0.469,0.068,0.128,0.002,0.305,0.027,0,"For the money I paid, this product was not worth it and I felt disappointed.",0
109,53,M,High,14,82,52.36,9,2,Apparel,0.015,0.413,0.142,0.359,0.026,0.045,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
110,35,F,Mid,2,522,33.71,2,3,Home,0.118,0.053,0.54,0.191,0.074,0.024,1,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,0
111,31,F,Mid,9,162,68.38,11,7,Beauty,0.022,0.177,0.029,0.469,0.055,0.248,0,"For the price, I think this product provides great value and I would happily recommend it to others.",0
112,31,M,Mid,1,628,28.62,2,4,Sports,0.281,0.147,0.203,0.023,0.036,0.31,0,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",0
113,51,F,Low,7,51,172.4,4,6,Home,0.1,0.275,0.501,0.04,0.037,0.046,0,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
114,54,F,Low,4,40,209.62,4,5,Apparel,0.149,0.338,0.102,0.049,0.044,0.318,0,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",1
115,39,F,Mid,4,132,81.15,6,6,Apparel,0.043,0.557,0.115,0.052,0.157,0.076,0,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",0
116,31,M,Low,4,18,190.02,9,9,Apparel,0.027,0.611,0.066,0.229,0.019,0.049,1,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",1
117,56,M,Mid,0,339,28.07,0,3,Sports,0.142,0.081,0.15,0.272,0.06,0.294,1,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
118,38,M,Low,1,305,27.5,0,1,Groceries,0.117,0.156,0.01,0.229,0.433,0.055,1,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
119,48,F,High,1,332,32.85,1,1,Groceries,0.285,0.024,0.237,0.114,0.29,0.051,1,"For the price, I think this product provides great value and I would happily recommend it to others.",0
120,32,F,Low,1,19,341.09,2,9,Home,0.168,0.178,0.516,0.01,0.041,0.087,1,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,1
121,35,M,Low,1,404,23.1,3,2,Sports,0.041,0.236,0.036,0.012,0.082,0.593,1,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
122,55,M,Low,0,377,30.34,0,6,Home,0.084,0.106,0.386,0.051,0.036,0.337,0,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
123,18,M,Mid,2,27,42.72,13,1,Apparel,0.03,0.76,0.018,0.134,0.014,0.044,1,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",0
124,33,M,Mid,2,406,27.67,2,3,Sports,0.239,0.19,0.019,0.03,0.138,0.384,0,"For the price, I think this product provides great value and I would happily recommend it to others.",0
125,18,F,Low,3,63,100.97,8,3,Home,0.121,0.157,0.349,0.191,0.019,0.163,0,"For the price, I think this product provides great value and I would happily recommend it to others.",0
126,18,F,Mid,6,50,254.47,9,7,Beauty,0.241,0.056,0.035,0.271,0.202,0.194,1,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
127,37,F,Mid,8,80,224.68,7,5,Home,0.105,0.07,0.365,0.326,0.02,0.114,1,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,0
128,39,M,Low,6,25,60,6,6,Groceries,0.226,0.057,0.14,0.108,0.394,0.076,1,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",1
129,20,M,Low,7,159,85.76,8,8,Beauty,0.046,0.204,0.029,0.423,0.219,0.08,0,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
130,18,F,Mid,1,642,23.7,2,6,Groceries,0.156,0.138,0.104,0.053,0.359,0.19,0,"For the price, I think this product provides great value and I would happily recommend it to others.",0
131,42,F,High,6,152,62.69,15,1,Home,0.071,0.001,0.384,0.045,0.233,0.266,0,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",1
132,32,F,Mid,4,37,88.89,10,9,Groceries,0.106,0.265,0.087,0.121,0.274,0.148,0,"For the price, I think this product provides great value and I would happily recommend it to others.",0
133,46,M,Mid,3,39,212.47,3,4,Beauty,0.009,0.148,0.129,0.421,0.293,0,1,"For the money I paid, this product was not worth it and I felt disappointed.",1
134,43,F,Mid,9,19,39.81,9,0,Apparel,0.197,0.323,0.009,0.076,0.17,0.225,1,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
135,33,M,Mid,3,151,61.07,8,8,Sports,0,0.028,0.071,0.427,0.047,0.427,1,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,0
136,22,F,Mid,3,765,23.97,0,3,Groceries,0.194,0.244,0.173,0.003,0.269,0.116,1,"The quality of the product is excellent, it feels durable and well-made, and I’m very satisfied.",0
137,34,M,Mid,2,87,87.72,6,5,Beauty,0.038,0.175,0.229,0.262,0.154,0.143,1,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,0
138,22,M,Mid,14,29,44.68,14,9,Beauty,0.094,0.008,0.249,0.364,0.006,0.28,0,"For the money I paid, this product was not worth it and I felt disappointed.",1
139,22,F,Mid,6,105,81.67,6,11,Sports,0.031,0.004,0.086,0.199,0.028,0.651,0,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,0
140,47,F,Low,4,92,126.72,11,9,Sports,0.022,0.071,0.209,0.062,0.01,0.626,0,"Customer service was very responsive and helpful whenever I had an issue, which gave me confidence.",0
141,37,M,Mid,4,58,204.29,6,7,Apparel,0.077,0.386,0.128,0.113,0.212,0.083,1,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",1
142,55,M,High,4,96,193.4,4,2,Sports,0.126,0.108,0.073,0.195,0.144,0.353,1,"For the money I paid, this product was not worth it and I felt disappointed.",1
143,22,M,Mid,3,427,30.37,1,5,Beauty,0.253,0.027,0.117,0.483,0.118,0.002,0,"For the money I paid, this product was not worth it and I felt disappointed.",0
144,30,F,Mid,2,503,27.39,2,2,Beauty,0.019,0.134,0.172,0.497,0.144,0.033,1,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
145,32,M,Mid,6,74,173.3,1,7,Apparel,0.153,0.379,0.274,0.095,0.036,0.063,1,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
146,42,F,High,2,109,217.85,4,3,Home,0.043,0.075,0.746,0.028,0.063,0.046,0,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,0
147,21,M,Low,1,586,32.98,1,5,Home,0.054,0.185,0.654,0.02,0.047,0.041,0,"Shipping was quick and the package arrived earlier than expected, which exceeded my expectations.",0
148,38,F,Low,6,163,94.42,12,8,Electronics,0.539,0.069,0.018,0.007,0.352,0.016,0,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
149,35,F,Mid,9,85,74.74,10,5,Home,0.18,0.048,0.271,0.238,0.052,0.211,1,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
150,50,M,Mid,4,40,62.02,5,3,Apparel,0.261,0.31,0.182,0.032,0.116,0.099,0,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",0
151,26,F,High,0,439,21.21,1,7,Electronics,0.385,0.077,0.196,0.024,0.252,0.066,0,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,0
152,50,F,Mid,4,77,82.63,6,8,Groceries,0.064,0.026,0.29,0.108,0.389,0.122,0,The product is too expensive compared to alternatives and I don’t think it justifies the cost.,0
153,29,M,Low,9,22,39.36,10,5,Home,0.02,0.333,0.378,0.085,0.097,0.088,0,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",0
154,38,M,Mid,5,149,60.98,7,7,Electronics,0.305,0.133,0.167,0.104,0.189,0.102,1,I plan to keep the subscription because it offers consistent benefits that I find very useful.,0
155,34,M,Low,5,21,116.03,7,5,Beauty,0.098,0.27,0.012,0.392,0.193,0.036,1,"The quality of the product felt poor, materials seemed cheap, and I doubt it will last long.",0
156,25,M,Mid,3,70,253.62,6,3,Home,0.17,0.005,0.6,0,0.169,0.055,0,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",1
157,37,M,Low,2,137,172.97,10,3,Groceries,0.007,0.198,0.012,0.217,0.444,0.123,1,"The price felt fair and reasonable compared to alternatives, and I believe the product was worth it.",0
158,36,M,High,2,94,225.35,3,5,Apparel,0.035,0.323,0.254,0.056,0.089,0.243,1,I plan to keep the subscription because it offers consistent benefits that I find very useful.,0
159,39,M,Low,6,12,200.68,6,4,Electronics,0.403,0.342,0.033,0.048,0.168,0.006,1,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",1
160,19,M,Mid,1,145,187.55,5,7,Home,0.006,0.198,0.319,0.187,0.111,0.18,0,"For the money I paid, this product was not worth it and I felt disappointed.",1
161,53,F,Low,3,107,75.29,11,5,Groceries,0.112,0.027,0.105,0.189,0.332,0.235,0,"Customer service was unhelpful, slow to respond, and overall a frustrating experience.",0
162,37,F,Low,0,469,15.93,2,7,Groceries,0.012,0.067,0.155,0.022,0.408,0.336,0,"Delivery was delayed and it arrived later than promised, which ruined the overall experience.",0
163,33,F,Mid,4,38,83.61,13,7,Groceries,0.297,0.087,0.012,0.112,0.463,0.03,1,I am thinking of canceling the subscription because it doesn’t seem worthwhile anymore.,0
